to_node,from_node,sim_score
503,508,10
193,750,10
193,451,20
422,750,14
422,220,20
200,866,10
200,980,15
200,499,11
200,518,10
200,220,45
955,866,18
955,436,10
955,939,22
955,943,38
955,980,27
955,413,16
955,481,32
955,970,23
955,744,14
955,750,46
955,460,13
955,468,13
955,451,67
955,962,27
955,974,17
955,421,12
955,969,24
955,202,22
955,956,47
955,968,11
955,862,30
955,601,20
955,220,24
818,508,10
167,451,20
866,939,14
866,369,16
866,899,13
866,980,13
866,750,24
866,460,25
866,539,10
866,518,11
866,451,22
866,191,12
866,882,21
866,202,54
866,220,51
508,525,40
508,515,23
508,999,18
508,534,10
508,369,24
508,993,31
508,831,14
508,232,15
508,499,53
508,832,10
508,544,10
508,997,13
508,815,52
508,486,12
508,539,38
508,518,85
508,995,44
508,924,24
508,987,32
508,848,11
508,839,36
508,882,23
508,504,13
508,990,26
508,545,74
508,220,12
508,835,31
436,939,13
436,980,11
436,481,11
436,750,22
436,460,15
436,451,41
436,191,13
436,743,10
436,862,14
436,220,11
881,220,10
465,481,14
939,899,12
939,980,20
939,413,12
939,481,17
939,750,72
939,856,13
939,460,24
939,451,45
939,191,15
939,969,10
939,202,17
939,862,24
939,601,11
525,369,27
525,831,10
525,499,19
525,815,12
525,539,20
525,518,48
525,995,29
525,924,43
525,987,12
525,839,19
525,882,20
525,990,13
525,545,21
525,220,15
525,835,24
515,369,15
515,539,16
515,518,29
515,995,10
515,839,12
515,990,10
999,369,10
999,499,12
999,997,10
999,815,16
999,518,21
999,995,28
999,924,10
999,839,10
999,835,10
401,402,11
936,750,13
936,460,21
936,451,21
936,220,12
534,990,10
534,545,10
369,831,11
369,980,11
369,499,27
369,539,26
369,518,70
369,995,15
369,924,24
369,839,15
369,882,12
369,545,10
369,220,46
369,835,14
899,750,11
899,460,21
899,451,24
899,220,10
877,980,19
877,862,27
741,750,15
741,460,13
741,451,22
741,220,16
632,451,12
943,956,17
748,980,10
748,499,11
748,750,14
748,451,22
993,499,13
993,995,11
993,987,10
993,990,13
993,545,19
831,518,19
831,882,11
201,750,14
201,460,10
201,451,24
980,499,34
980,832,10
980,481,14
980,903,17
980,750,36
980,518,10
980,451,23
980,365,12
980,361,11
980,426,30
980,882,12
980,202,26
980,990,30
980,862,201
980,601,31
980,545,11
980,220,34
980,835,11
232,499,11
232,518,11
413,481,20
413,750,25
413,460,24
413,451,29
413,191,10
413,974,10
499,832,12
499,903,14
499,815,20
499,539,22
499,518,46
499,995,26
499,924,12
499,987,20
499,839,12
499,882,14
499,202,12
499,990,30
499,675,14
499,862,16
499,545,30
499,220,17
499,835,19
832,990,13
230,750,13
230,460,15
230,451,17
230,191,11
230,743,11
544,990,11
997,518,14
997,995,16
997,924,11
997,839,10
997,990,11
997,835,18
513,520,13
481,750,33
481,460,17
481,451,36
481,633,19
481,202,17
481,968,11
481,862,19
481,601,18
903,202,10
903,990,14
970,744,33
970,750,12
970,460,10
970,451,14
970,969,39
970,956,10
744,750,11
744,969,35
750,886,10
750,460,47
750,738,12
750,935,14
750,451,107
750,962,14
750,191,19
750,974,19
750,969,10
750,743,15
750,202,25
750,418,10
750,968,14
750,862,39
750,601,21
750,220,42
856,460,12
856,451,21
856,191,10
886,451,13
886,220,15
815,539,17
815,518,41
815,995,35
815,924,12
815,987,13
815,848,17
815,839,13
815,545,29
815,835,13
528,995,14
460,738,14
460,451,92
460,191,30
460,969,10
460,743,22
460,202,21
460,220,39
468,451,11
738,451,18
935,451,22
539,518,58
539,995,24
539,924,18
539,987,12
539,839,22
539,882,12
539,835,14
560,995,11
518,995,50
518,924,32
518,324,13
518,987,22
518,848,16
518,839,42
518,882,35
518,504,15
518,990,16
518,545,35
518,220,61
518,835,31
451,962,19
451,191,51
451,974,32
451,477,11
451,969,11
451,743,25
451,202,20
451,956,15
451,188,15
451,418,18
451,968,23
451,953,19
451,454,10
451,862,28
451,220,63
451,890,11
995,924,48
995,987,23
995,839,25
995,882,19
995,990,12
995,545,22
995,220,21
995,835,45
191,202,13
191,220,11
924,987,17
924,839,17
924,990,12
924,545,13
924,835,46
365,862,20
426,675,18
426,862,22
426,220,12
987,839,12
987,990,11
987,545,21
839,882,14
839,990,10
839,545,13
839,220,10
839,835,17
969,956,12
882,202,12
882,504,10
882,990,13
882,545,11
882,220,36
888,202,18
888,601,10
743,220,14
202,990,11
202,968,13
202,862,10
202,601,20
202,220,24
504,990,13
990,545,22
990,220,20
990,835,16
977,299,24
968,601,10
681,675,35
862,601,29
545,220,17
545,835,14
